Year,Hand,Gear,capacity_Engine,Engine_type,Km,Area,City,Description,Model,Color,Cre_date,Repub_date,Test,Pic_num,Prev_ownership,Curr_ownership,Price,Manufactor
2005,4,אוטומטית,1600,בנזין,220000,באר שבע והסביבה,באר שבע,רנו מגאן שנת 2005 מצב מכאני מעולה טסט ארוך עד 01/25 נדיר מאוד בשנתון הזה יד רביעית פרטית הנעה בכפתור מזגן עובד מעולה על חום ועל קור יש סאב ומגבר של פיונר שצריך ...,רנו מגאן II,כסף מטלי,09/06/2024,09/06/2024,235,4,פרטית,פרטית,4200.0,רנו
2015,2,אוטומטית,1500,דיזל,225000,זכרון - בנימינה,זכרון יעקב,"4 צמיגים חדשים, גאנטים מגנזיום 16
מצבר חדש של חברה “Varta” 
ללא תאונות. 
רכב 7 מקומות, בגאז' ענק. 
מנוע וגיר של פלואנס, חזק וחסכוני בדלק. 
עושה 1/20 
2 מפותחות ...",רנו גרנד סניק,לבן,09/06/2024,09/06/2024,,6,פרטית,פרטית,25500.0,רנו
2013,1,אוטומטית,1200,חשמלי,70000,מושבים בשרון,שער אפרים,"פלואנס חשמלי בטר פלייס
יש לחדש סוללה וטסט",רנו פלואנס חשמלי,כחול כהה מטאלי,25/04/2024,05/06/2024,,4,פרטית,פרטית,25000.0,רנו
2008,3,אוטומטית,1600,דיזל,267000,באר שבע והסביבה,באר שבע,טסט עד 1.7 מטופלת,רנו מגאן II,כחול כהה,24/12/2023,24/12/2023,,2,פרטית,פרטית,5000.0,רנו
2014,2,אוטומטית,6000,בנזין,58,ירושלים והסביבה,ירושלים,"רכב פצצה במצב מצויין 
חסכוני בטרוף !! שמור מאוד 
טסט ל8 חודשים 
רמת גימור EX PACK PLUS 
לרצינים בלבד ! גמישה ממש ",רנו קליאו,אדום,13/11/2023,13/11/2023,82,5,פרטית,פרטית,30000.0,רנו
2013,3,אוטומטית,1500,דיזל,290000,פרדס חנה - כרכור,חריש,"*רכב במצב מעולה *שמור ומוטפל בזמן
*חסכוני בדלק
*בגז גדול
*ללא תאונות
*נוח לנסיעה",רנו מגאן,אפור מטאלי,10/04/2024,10/04/2024,263,2,פרטית,פרטית,1.0,רנו
2008,3,רובוטית,2000,בנזין,260000,,שילה,"רכב טוב מאוד, אצלי כבר 6 שנים ולא אכזב, מהשבע-7 מקומות הרחבים ביותר, כיסאות נשלפים. צמיגים חדשים, טסט ל9 חודשים, מובילאי מותקן ברכב, מצבר פחות משנה. טיפול מלא ל...",רנו גרנד סניק,אפור מטאלי,04/10/2023,12/10/2023,,4,פרטית,פרטית,7500.0,רנו
2014,2,אוטומטית,1200,בנזין,146000,הוד השרון והסביבה,הוד השרון,"הקליאו הכי יפה בארץ!
2014 1.2t collection
חונה בחניון 
חלונות מושחרים
פנסי לד
מסך מולטימדיה ענק+מצלמה אחורית+חיישני רוורס
סאבוופר+ מגבר 
יד 2
146000קמ
30000שח
ב...",רנו קליאו,כסוף,16/08/2023,04/10/2023,,9,פרטית,פרטית,29500.0,רנו
2011,3,אוטומטית,1600,בנזין,195000,באר שבע והסביבה,באר שבע,מושקע ברמת הבורג ,רנו פלואנס,אפור מטאלי,13/09/2023,13/09/2023,,5,פרטית,פרטית,13500.0,רנו
2014,2,ידנית,1200,בנזין,96000,,סח'נין,"ידנית 1.2
עלייה לכביש 12/2014 
קם 96,000
יד02
רכב שמור מאוד לא חסר לא כלום",רנו קליאו,אדום,29/08/2023,29/08/2023,,7,פרטית,פרטית,14500.0,רנו
2011,3,אוטומטית,1600,בנזין,194000,באר שבע והסביבה,באר שבע,שמור מאוד ברמת הבורג בפנים בחוץ חדש אחרי פרונט צמיגים טיימינג טיפול שמן מקורי פלאגים מושקע מאוד,רנו פלואנס,אפור מטאלי,28/08/2023,28/08/2023,,2,ליסינג,פרטית,14500.0,רנו
2012,1,אוטומטית,1600,בנזין,148000,עמק יזרעאל,מגדל העמק,"רכב חלומי שמור להפליא 
בבעלות יד ראשונה נקנה מהחברה 
רכב עם מזגן מעולה נוסע מדהים
שמור בקנאות ללא שריטות וצבע מדהים
הרכב נמכר בצער עקב שדרוג לרכב חדש 
והקודם זו...",רנו פלואנס,כחול כהה מטאלי,04/07/2023,04/07/2023,,6,ליסינג,פרטית,14900.0,רנו
2013,2,אוטומטית,1500,דיזל,190000,כרמיאל והסביבה,כרמיאל,"רכב רנו פלואינס שחורה, מטופלת בזמן רק במוסך מורשה, רכב טורבו דיזל, חסכוני, חלונות מושחרים, גלגלי מגנזיום, מצלמת רוורס. ",רנו פלואנס,שחור,12/06/2023,12/06/2023,,1,פרטית,פרטית,30000.0,רנו
2008,2,אוטומטית,1600,בנזין,167000,עמק יזרעאל,עפולה,"רכב במצב טוב , טסט עד סוף חודש גמיש ",רנו מגאן II,כסף מטלי,04/06/2023,04/06/2023,,3,ליסינג,פרטית,6500.0,רנו
2011,5,אוטומטית,1600,בנזין,190000,ירושלים והסביבה,ירושלים,"רנו פלואנס 2011
אוטומט
בנזין
 נגמר טסט יש ברכב קצת תקלות לא יודע בדיוק מה עלות תיקון, יש לציין שהרכב נוסע תקין
מחירון 16,800
מחיר 7,000₪ + אגרת טסט 1,350₪. גמיש...",רנו פלואנס,אפור,30/05/2023,31/05/2023,,5,פרטית,פרטית,8000.0,רנו
