Year,Hand,Gear,capacity_Engine,Engine_type,Km,Area,City,Description,Model,Color,Cre_date,Repub_date,Test,Pic_num,Prev_ownership,Curr_ownership,Price,Manufactor
2005,4,אוטומטית,1600,בנזין,220000,באר שבע והסביבה,באר שבע,רנו מגאן שנת 2005 מצב מכאני מעולה טסט ארוך עד 01/25 נדיר מאוד בשנתון הזה יד רביעית פרטית הנעה בכפתור מזגן עובד מעולה על חום ועל קור יש סאב ומגבר של פיונר שצריך ...,רנו מגאן II,כסף מטלי,2024-09-06,2024-09-06,235,4,פרטית,פרטית,4200.0,רנו
2015,2,אוטומטית,1500,דיזל,225000,זכרון - בנימינה,זכרון יעקב,"4 צמיגים חדשים, גאנטים מגנזיום 16
מצבר חדש של חברה “Varta” 
ללא תאונות. 
רכב 7 מקומות, בגאז' ענק. 
מנוע וגיר של פלואנס, חזק וחסכוני בדלק. 
עושה 1/20 
2 מפותחות ...",רנו גרנד סניק,לבן,2024-09-06,2024-09-06,,6,פרטית,פרטית,25500.0,רנו
2013,1,אוטומטית,1200,חשמלי,70000,מושבים בשרון,שער אפרים,"פלואנס חשמלי בטר פלייס
יש לחדש סוללה וטסט",רנו פלואנס חשמלי,כחול כהה מטאלי,2024-04-25,2024-05-06,,4,פרטית,פרטית,25000.0,רנו
2008,3,אוטומטית,1600,דיזל,267000,באר שבע והסביבה,באר שבע,טסט עד 1.7 מטופלת,רנו מגאן II,כחול כהה,2023-12-24,2023-12-24,,2,פרטית,פרטית,5000.0,רנו
2014,2,אוטומטית,6000,בנזין,58,ירושלים והסביבה,ירושלים,"רכב פצצה במצב מצויין 
חסכוני בטרוף !! שמור מאוד 
טסט ל8 חודשים 
רמת גימור EX PACK PLUS 
לרצינים בלבד ! גמישה ממש ",רנו קליאו,אדום,2023-11-13,2023-11-13,82,5,פרטית,פרטית,30000.0,רנו
2013,3,אוטומטית,1500,דיזל,290000,פרדס חנה - כרכור,חריש,"*רכב במצב מעולה *שמור ומוטפל בזמן
*חסכוני בדלק
*בגז גדול
*ללא תאונות
*נוח לנסיעה",רנו מגאן,אפור מטאלי,2024-10-04,2024-10-04,263,2,פרטית,פרטית,1.0,רנו
2008,3,רובוטית,2000,בנזין,260000,,שילה,"רכב טוב מאוד, אצלי כבר 6 שנים ולא אכזב, מהשבע-7 מקומות הרחבים ביותר, כיסאות נשלפים. צמיגים חדשים, טסט ל9 חודשים, מובילאי מותקן ברכב, מצבר פחות משנה. טיפול מלא ל...",רנו גרנד סניק,אפור מטאלי,2023-04-10,2023-12-10,,4,פרטית,פרטית,7500.0,רנו
2014,2,אוטומטית,1200,בנזין,146000,הוד השרון והסביבה,הוד השרון,"הקליאו הכי יפה בארץ!
2014 1.2t collection
חונה בחניון 
חלונות מושחרים
פנסי לד
מסך מולטימדיה ענק+מצלמה אחורית+חיישני רוורס
סאבוופר+ מגבר 
יד 2
146000קמ
30000שח
ב...",רנו קליאו,כסוף,2023-08-16,2023-04-10,,9,פרטית,פרטית,29500.0,רנו
2011,3,אוטומטית,1600,בנזין,195000,באר שבע והסביבה,באר שבע,מושקע ברמת הבורג ,רנו פלואנס,אפור מטאלי,2023-09-13,2023-09-13,,5,פרטית,פרטית,13500.0,רנו
2014,2,ידנית,1200,בנזין,96000,,סח'נין,"ידנית 1.2
עלייה לכביש 12/2014 
קם 96,000
יד02
רכב שמור מאוד לא חסר לא כלום",רנו קליאו,אדום,2023-08-29,2023-08-29,,7,פרטית,פרטית,14500.0,רנו
