Manufactorer,Model,Manufactured_Year,Supply_Score
רנו,THALIA,2003,10
רנו,MEGANE,2015,213
רנו,CLIO III,2013,78
רנו,מגאן TR 6.1 5 דלתות,1997,2
רנו,GEREND SCENIC,2007,3
רנו,1 KANGOO,2000,0
רנו,FLUENCE,2014,59
רנו,מגאן TR 6.1 אוטו 5 ד,1996,1
רנו,MEGANE,2001,5
רנו,CLIO,2015,3
רנו,CLIO II,2003,13
רנו,FLUENCE,2015,35
רנו,1TRAFIC,2004,0
רנו,CAPTUR,2013,10
רנו,CLIO II,2002,9
רנו,MEGANE II,2004,0
רנו,MEGANE,2011,85
רנו,TRAFIC,2014,3
רנו,MEGANE,2003,1
רנו,LAGUNA,2007,1
רנו,SANDERO,2009,2
רנו,MEGANE,2012,5
רנו,1TRAFIC,2005,0
רנו,MEGANE,2013,272
רנו,MEGANE,2000,2
רנו,FLUENCE,2012,179
רנו,CLIO,2014,85
רנו,MEGANE,2000,3
רנו,KANGOO,2014,26
רנו,מגאן NR TUY' 4דלתות,1997,0
רנו,SCENIC,2000,0
רנו,KANGOO,2015,69
רנו,מגאן TR 6.1 5 דלתות,1998,0
רנו,מגאן דיזל D 9.1 NR,1999,0
רנו,FLUENCE,2014,30
רנו,SCENIC,2001,3
רנו,CLIO 3,2009,70
רנו,KANGOO,2013,134
רנו,KANGOO,2004,0
רנו,CLIO,2015,7
רנו,CLIO II,2004,11
רנו,91 NR I4.1 4 דלתות,1996,0
רנו,SCENIC II,2007,5
רנו,CLIO,2015,32
רנו,GRAND SCENIC,2014,11
רנו,CLIO B,2002,4
רנו,CAPTUR,2014,13
רנו,MASTER,2003,0
רנו,SCENIC II,2005,0
רנו,KANGOO,2004,16
רנו,MEGANE II,2007,7
רנו,קליאו 2 INR אוטומטי,1996,0
רנו,MEGANE,2001,1
רנו,KANGOO,2013,11
רנו,LATITUDE,2013,205
רנו,CLIO II,2003,7
רנו,KANGOO,2001,0
רנו,CAPTUR,2014,131
רנו,FLUENCE,2015,71
רנו,קליאו 3 ITR 4.1,1997,0
רנו,KANGOO,2008,74
רנו,KOLEOS,2009,66
רנו,1TRAFIC,2004,0
רנו,MEGANE,2015,41
רנו,MEGANE II,2004,1
רנו,SCENIC,2002,3
רנו,FLUENCE,2012,2
רנו,FLUENCE,2015,409
רנו,FLUENCE,2010,133
רנו,KANGOO,1998,0
רנו,KANGOO,2003,5
רנו,MEGANE II,2008,37
רנו,CLIO II,2003,40
רנו,MEGANE II,2004,1
רנו,מאגן TR 6.1 4 דלתות,1997,1
רנו,FLUENCE,2013,27
רנו,FLUENCE,2014,71
רנו,FLUENCE,2013,609
רנו,רנו מגאן קלאסיק NR D,1999,0
רנו,THALIA,2006,63
רנו,CLIO III,2010,15
רנו,SCENIC,1999,0
רנו,MEGANE,2003,4
רנו,CAPTUR,2014,59
רנו,TRAFIC,2007,6
רנו,CLIO,2015,72
רנו,רנו סאפראן EXR,1997,0
רנו,CLIO,2015,0
רנו,TWINGO,1999,0
רנו,SCENIC,2000,0
רנו,MASTER,1999,2
רנו,KOLEOS,2010,59
רנו,MEGANE II,2007,2
רנו,FLUENCE,2015,9
רנו,מגאן+TR 6.1 אוט 5 דל,1999,0
רנו,MEGANE,2015,86
רנו,MEGANE II,2007,24
רנו,SCENIC II,2009,10
רנו,לגונה 8.1 נבדה TR,1996,0
רנו,TRAFIC,2008,3
רנו,MEGANE,2013,10
רנו,SCENIC II,2007,0
רנו,FLUENCE,2015,23
רנו,KANGOO,2005,1
רנו,SCENIC,2000,0
רנו,1TRAFIC,2005,6
רנו,MEGANE,2011,68
רנו,KANGOO,2012,9
רנו,KANGOO,2005,1
רנו,KANGOO 2,2011,3
רנו,MEGANE,2001,0
רנו,FLUENCE,2011,10
רנו,CLIO 3,2009,69
רנו,CLIO B,2001,13
רנו,MEGANE,2015,20
רנו,MEGANE II,2005,1
רנו,MEGANE,2012,0
רנו,MEGANE II,2005,0
רנו,KANGOO,2007,1
רנו,FLUENCE Z.E.,2014,8
רנו,FLUENCE,2015,30
רנו,CLIO,2015,1
רנו,SCENIC II,2006,0
רנו,TRAFIC,2011,5
רנו,SCENIC,2002,1
רנו,CAPTUR,2013,26
רנו,KANGOO 2,2011,5
רנו,MEGANE,2015,22
רנו,SCENIC II,2005,0
רנו,MASTER,2004,1
רנו,CLIO III,2010,27
רנו,CAPTUR,2013,9
רנו,CLIO,2014,74
רנו,FLUENCE,2012,14
רנו,CAPTUR,2015,125
רנו,TRHFIC,2009,4
רנו,1TRAFIC,2003,1
רנו,MEGANE II,2004,3
רנו,MEGANE,2011,21
רנו,MEGANE II,2007,0
רנו,CLIO B,1999,0
רנו,TRAFIC,2013,9
רנו,LOGAN MCV,2009,168
רנו,FLUENCE,2015,8
רנו,אקספרס קמביAE D9.1AD,1998,0
רנו,SCENIC II,2006,0
רנו,CLIO,2015,29
רנו,MEGANE,2013,43
רנו,SCENIC,2000,0
רנו,מגאן LR 4.1 5 דלתות,1999,0
רנו,CLIO B,2000,3
רנו,מגאן NR4.1 4דלתות,1998,0
רנו,MEGANE,2015,1
רנו,לגונה 5 דלתות,1999,0
רנו,KANGOO,2007,27
רנו,KOLEOS,2010,5
רנו,GRAND SCENIC,2015,1
רנו,MEGANE II,2007,0
רנו,CLIO B,2001,7
רנו,MEGANE II,2004,0
רנו,KANGOO 2,2010,318
רנו,KANGOO,2003,5
רנו,CLIO B,2001,8
רנו,SCENIC II,2004,1
רנו,מגאן TR 6.1 5דלתו,1999,2
רנו,SCENIC II,2006,12
רנו,LOGAN MCV,2012,24
רנו,KANGOO,2015,19
רנו,SCENIC II,2006,1
רנו,CLIO,2015,39
רנו,MEGANE II,2008,21
רנו,מגאן NR 6.1 5 דלתות,1997,1
רנו,FLUENCE,2014,1
רנו,FLUENCE,2015,20
רנו,KANGOO,2015,67
רנו,MEGANE,2013,1
רנו,MEGANE,2000,2
רנו,GRAND SCENIC,2013,46
רנו,KANGOO,2000,0
רנו,CLIO II,2003,5
רנו,מגאן NR 6.1 EPUOC,1997,0
רנו,MEGANE II,2007,0
רנו,SCENIC,1999,0
רנו,FLUENCE,2015,33
רנו,THALIA,2005,25
